Noms,Date,Note,Commentaire,Top Tier,,
Sword art online : Saison 1,2012,B,,,,Notes : S A B C D E F 
Sword art online : Saison 2,2014,C,,,,
Sword art online : Saison 3,2018,D,,,,
Sword art online : Saison 4,2018,D, ,,,
Sword Art Online: Ordinal Scale,2017,C,,,,
Sword Art Online the Movie - Progressive: Aria of a Starless Night,2021,E,,,,
Sword Art Online the Movie - Progressive: Scherzo of Deep Night,2022,E,,,,
Je veux manger ton pancréas,2018,S,,3,,
"Loin de moi, près de toi",2020,B,,,,
Inazuma Eleven,2008,S,,5,,
Inazuma Twelve,2009,S,,5,,
Inazuma Thirteen,2010,S,,5,,
ToraDora !,2006,B,,,,
Koe no Katachi,2016,A,,,,
Karakai Jouzu No Takagi San   Intégralité,2016,B,,,,
Re Zero : Saison 1,2016,D,,,,
Re Zero : Saison 2,2020,D, ,,,
Jujutsu Kaisen : Saison 1,2020,S,,4,,
Jujutsu Kaisen : Saison 2,2023,S,,4,,
Jujutsu Kaisen 0,2021,S,,4,,
Steins;Gate,2011,S,,6,,
Steins;Gate 0,2018,S,,6,,
Steins;Gate : Fuka ry?iki no Déjà vu,2013,S,,6,,
Nos mots comme des bulles,2021,A,,,,
Boku No Hero Academia Intégrale,?,B,,,,
Flavors of Youth,2018,C,,,,
Your Name,2016,A,,,,
Les enfants du temps,2019,B,,,,
Suzume,2022,S,,5,,
Byousoku 5 Centimeter,2007,E,,,,
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,2013,F,,,,
Hotarubi no Mori e,2011,B, ,,,
Sakasama no Patema,2013,A,,,,
Nerawareta Gakuen,2012,S,Chef D’œuvre,1,,
Tonikaku Kawaii: Fly Me to the Moon Saison 1,2020,B,,,,
Tonikaku Kawaii: Fly Me to the Moon Saison 2,2023,B,,,,
Tonikaku Kawaii: Fly Me to the Moon OAV,2021,C,,,,
"Josée, le tigre et les poissons",2020,A,,,,
Kubo Won't Let Me Be Invisible,2023,A,,,,
Suntory Minami Alps no Tennen Mizu,2016,S,,Troll,,
Hyouka,2012,B,,,,
Bubble,2022,A,,,,
Hello World,2019,B,,,,
Bubble,2022,A,,,,
One Piece Red ,2022,A,,,,
Scarlet Nexus,2021,B,,,,
Mario,2023,A,,,,
To Every You I've Loved Before,2022,Aucun mérite,Perte de temps,,,
"To Me, The One Who Loved You",2022,Aucun mérite,Perte de temps x2,,,
Top Gear,2002 – 2015,S,,2,,
Summer Ghost ,2021,A,,,,
Le tunnel des souhaits,2022,A,,,,
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,2018,B,,,,
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai – OAV,2020,B,,,,
Classroom of the Elite : Saison 1,2017,C,Fin nul,,,
Classroom of the Elite : Saison 2,2022,E,Fin nul,,,
Classroom of the Elite : Saison 3,2024,D,"Début pas ouf, milieu ok",,,
Nobody,2021,A,,,,
Expendables 4,2023,F,,,,
